fips,state,county,avg_income,covid_confirmedcases,covid_confirmeddeaths,deaths_firearm_suicides,deaths_homicides,deaths_suicides,deaths_vehicle,elections_2016_dem,elections_2016_gop,elections_2016_total,demvotes_2016,repvotes_2016,elections_2020_dem,elections_2020_gop,elections_2020_total,demvotes_2020,repvotes_2020,demchange,repchange,fatal_police_shootings.total-2017,fatal_police_shootings.total-2018,fatal_police_shootings.total-2019,fatal_police_shootings.total-2020,land_area,num_police,police_deaths,asian,black,hispanic,nonhispanic_white,population,male,female,18plus,votes_over_18plus,age18plus,median_age
01031,Alabama,coffee county,43094,31032,178,89,26,114,97,4194,15825,20513,0.204455711,0.771462,5076,16899,22239,0.228247673,0.75988129,0.023791962,-0.01158071,0,0,0,0,1758.565927,144,0,0.016774292,0.176072752,0.07968744,0.694241718,52342,0.491803905,0.508196095,0.763211188,0.556698708,39948,39.4
01033,Alabama,colbert county,38378,38523,544,115,51,149,121,7296,16718,24626,0.296272233,0.678875985,8343,19203,27818,0.299913725,0.690308433,0.003641492,0.011432449,0,0,0,1,1534.875463,176,0,0.006770334,0.162180265,0.032385366,0.77723068,55241,0.478050723,0.521949277,0.790825655,0.636771506,43686,42.3
01035,Alabama,conecuh county,32656,11333,256,28,28,41,52,3069,3413,6543,0.469050894,0.521626165,2966,3442,6440,0.460559006,0.53447205,-0.008491888,0.012845884,0,0,0,0,2201.948618,50,0,0.002320378,0.460760752,0.022955167,0.503604873,12067,0.477169139,0.522830861,0.794978039,0.67132284,9593,45.6
01037,Alabama,coosa county,31328,4046,69,29,18,40,44,1780,3376,5223,0.340800306,0.646371817,1796,3631,5473,0.328156404,0.663438699,-0.012643902,0.017066882,0,0,0,0,1685.850816,31,0,0.00168808,0.308918691,0.026259027,0.65131764,10663,0.500328238,0.499671762,0.836162431,0.613840287,8916,49.5
01039,Alabama,covington county,35651,29852,572,62,34,83,92,2379,13222,15818,0.15039828,0.835883171,2721,14586,17404,0.156343369,0.838083199,0.005945089,0.002200028,0,0,0,0,2668.871125,129,0,0.005020378,0.125185565,0.018543011,0.830629707,37049,0.483872709,0.516127291,0.779697158,0.602485547,28887,43.4
01041,Alabama,crenshaw county,36645,11069,493,27,25,34,42,1663,4511,6252,0.265994882,0.721529111,1700,4864,6608,0.257263923,0.736077482,-0.008730959,0.014548371,1,0,0,1,1576.952826,29,0,0.011036886,0.238817891,0.024179495,0.702657566,13772,0.48540517,0.51459483,0.772291606,0.621286198,10636,42
01043,Alabama,cullman county,39607,46301,415,144,38,215,208,3730,32734,37278,0.100059016,0.878105049,4478,36880,41776,0.107190732,0.882803524,0.007131715,0.004698475,0,0,1,0,1903.070708,210,0,0.007246204,0.013800019,0.044790373,0.916770127,83768,0.494317639,0.505682361,0.775427371,0.643143051,64956,40.9
01045,Alabama,dale county,36613,30241,806,87,49,115,105,4408,13798,18617,0.236772842,0.741150561,5170,14303,19706,0.262356643,0.725819547,0.025583801,-0.015331014,0.044342393,0,1,1,1453.311031,111,0,0.014500122,0.209753518,0.070161881,0.679756772,49172,0.492434719,0.507565281,0.772472139,0.518797388,37984,38.1
01047,Alabama,dallas county,36026,39669,567,47,164,68,119,12826,5784,18730,0.684783769,0.308809397,12230,5524,17844,0.685384443,0.309571845,0.000600674,0.000762448,0,0,0,0,2534.863481,135,0,0.00448973,0.707065276,0.011533498,0.26970642,37196,0.461823852,0.538176148,0.766775997,0.625644262,28521,40.7
01049,Alabama,dekalb county,31916,59782,481,114,49,163,161,3682,21779,26086,0.141148509,0.834892279,4281,24767,29298,0.146119189,0.845347805,0.00497068,0.010455526,0,0,0,0,2012.676476,194,0,0.005187868,0.018737852,0.150657922,0.798498175,71513,0.497489967,0.502510033,0.760588984,0.538645389,54392,40.1
01051,Alabama,elmore county,42269,58817,1071,136,86,179,182,8436,27619,36905,0.228586912,0.748380978,10367,30164,40929,0.253292287,0.736983557,0.024705374,-0.011397421,0,0,1.999899648,0,1601.762124,189,0,0.007511483,0.211540593,0.031560541,0.730842641,81209,0.48314842,0.51685158,0.776761196,0.648842739,63080,39.2
01053,Alabama,escambia county,32996,31930,522,57,63,82,104,4698,10282,15213,0.308814829,0.675869322,4918,10869,15881,0.309678232,0.684402745,0.000863402,0.008533423,0,0,0,1,2447.822304,209,0,0.003330331,0.312559714,0.025987498,0.603117408,36633,0.50296181,0.49703819,0.775448366,0.559052346,28407,40.1
01055,Alabama,etowah county,36918,75977,1005,200,137,282,210,10350,32132,43474,0.238073331,0.739108433,11567,35528,47626,0.242871541,0.745979087,0.00479821,0.006870654,0,0,0,0,1386.383039,417,0,0.008223491,0.157449055,0.041361912,0.774504244,102268,0.48398326,0.51601674,0.787069269,0.59168613,80492,42
01057,Alabama,fayette county,34966,9556,192,51,16,59,56,1358,6705,8196,0.165690581,0.818081991,1395,7300,8751,0.159410353,0.834190378,-0.006280228,0.016108387,0,0,0,0,1625.69328,33,0,0.004784689,0.116611459,0.020549626,0.840571709,16302,0.486872776,0.513127224,0.789412342,0.680006216,12869,43.9
01059,Alabama,franklin county,34318,42140,637,64,21,81,82,2197,9466,11955,0.18377248,0.791802593,2086,10376,12568,0.165977085,0.825588797,-0.017795395,0.033786204,0,0,0,0,1641.839976,87,0,0.003634972,0.043779096,0.178751355,0.761845546,31362,0.503220458,0.496779542,0.752184172,0.532768122,23590,39
01061,Alabama,geneva county,35192,13576,96,58,35,79,70,1522,9967,11659,0.130542928,0.854876061,1595,10848,12533,0.127264023,0.865554935,-0.003278905,0.010678874,0,0,0,0,1487.870866,59,0,0.00350196,0.093068402,0.041680941,0.835560123,26271,0.488257013,0.511742987,0.780480378,0.611246586,20504,43.5
01063,Alabama,greene county,32359,7547,347,14,26,20,34,4006,838,4862,0.823940765,0.172357055,3884,875,4767,0.814768198,0.183553598,-0.009172567,0.011196543,0,0,0,0,1675.782063,43,0,0.002835655,0.799161632,0.017137221,0.175440759,8111,0.47207496,0.52792504,0.782024411,0.751537128,6343,44
01065,Alabama,hale county,36585,15370,685,20,34,24,52,4772,3172,8010,0.595755306,0.396004994,4663,3192,7892,0.590851495,0.404460213,-0.004903811,0.008455219,0,0,0,0,1667.907107,27,0,0.003003208,0.580165176,0.014265238,0.397174254,14651,0.47437035,0.52562965,0.769845062,0.699707421,11279,40.8
01067,Alabama,henry county,40360,11388,123,35,24,44,35,2286,5623,8017,0.285144069,0.701384558,2606,6607,9282,0.280758457,0.7118078,-0.004385612,0.010423242,1,0,0,0,1454.926615,44,0,0.004242953,0.258878233,0.026910782,0.69537925,17205,0.482941006,0.517058994,0.796105783,0.677666642,13697,45.3
01069,Alabama,houston county,42398,63047,537,147,94,195,185,10547,30567,42030,0.250939805,0.727266238,12917,32618,46068,0.280389858,0.708040288,0.029450054,-0.01922595,0,0,0.137157107,0,1501.807104,414,0,0.010738369,0.273663134,0.034292892,0.660763869,105882,0.478154927,0.521845073,0.770612569,0.564600338,81594,40
01071,Alabama,jackson county,36567,35924,275,127,45,169,173,3663,16643,20785,0.17623286,0.800721674,3717,19670,23595,0.157533376,0.833651197,-0.018699485,0.032929523,1,0,0,0,2791.974087,176,0,0.005830396,0.034924263,0.030682214,0.89046217,51626,0.491360942,0.508639058,0.793069384,0.576288987,40943,44
01073,Alabama,jefferson county,54730,427656,7937,1012,1990,1493,1153,151581,130614,290111,0.522493115,0.450220778,181688,138843,324109,0.560576843,0.428383661,0.038083728,-0.021837117,5.694527551,2.763157837,1.999871677,1,2877.921069,3046,1,0.01789627,0.434668594,0.040804892,0.495147842,658573,0.472585423,0.527414577,0.772462582,0.637103099,508723,37.9
01075,Alabama,lamar county,33496,8163,73,31,NA,37,38,1035,5819,6931,0.149329101,0.839561391,978,6174,7185,0.13611691,0.859290188,-0.013212191,0.019728797,0,0,0,0,1566.544636,34,0,0.001086563,0.103295907,0.019051068,0.860123144,13805,0.489677653,0.510322347,0.786164433,0.662028932,10853,44.6
01077,Alabama,lauderdale county,37151,42607,678,147,84,214,171,9877,27735,38813,0.254476593,0.714580166,11915,31721,44173,0.269734906,0.718108347,0.015258313,0.00352818,0,0,0,1,1730.742958,223,0,0.008174358,0.100173624,0.028599467,0.84574405,92729,0.47978518,0.52021482,0.8053899,0.591473294,74683,41.6
01079,Alabama,lawrence county,34125,14059,366,79,36,103,99,3611,10732,14623,0.246939752,0.73391233,3562,12322,16010,0.222485946,0.769643973,-0.024453806,0.035731643,0,0,0,0,1788.859207,52,0,0.002217228,0.108796015,0.023660552,0.763030009,32924,0.487000364,0.512999636,0.784564451,0.619797917,25831,43
01081,Alabama,lee county,38036,113925,1518,166,184,238,202,20987,34321,57668,0.363928002,0.595148089,27860,42221,71100,0.391842475,0.593825598,0.027914474,-0.001322491,0.02061531,0,0,0,1573.550101,352,1,0.041691483,0.229351776,0.037017904,0.676811999,164542,0.491303132,0.508696868,0.788983968,0.547677186,129821,32.8
01083,Alabama,limestone county,42546,48629,474,130,66,175,175,9340,28824,39400,0.237055838,0.731573604,13672,34640,49060,0.278679168,0.706074195,0.041623331,-0.025499409,0.000207797,6.93E-05,0.007618473,1.000138531,1450.278151,193,0,0.016812415,0.139129556,0.062164485,0.75824698,98915,0.499863519,0.500136481,0.77684881,0.638452929,76842,40
01085,Alabama,lowndes county,38991,16507,688,11,51,13,55,4882,1751,6676,0.731276213,0.262282804,4972,1836,6834,0.727538777,0.268656716,-0.003737437,0.006373912,0,1,0.135494597,0,1854.20138,40,1,0.004832408,0.724141476,0.018609912,0.251079581,9726,0.469874563,0.530125437,0.780074028,0.900751285,7587,42.4
01087,Alabama,macon county,32919,10941,408,25,92,31,59,7237,1394,8748,0.827274806,0.159350709,7108,1541,8701,0.816917596,0.17710608,-0.01035721,0.017755371,0,0,0,0,1576.801788,89,0,0.005977419,0.803741421,0.018983839,0.164600398,18068,0.454837281,0.545162719,0.828647332,0.581151483,14972,39.9
01089,Alabama,madison county,51445,168209,1569,475,330,731,470,62435,89199,159473,0.39150828,0.559336063,87286,102780,193765,0.450473512,0.530436353,0.058965231,-0.02889971,2.999792203,0.999930734,1.992381527,1.999861469,2076.145098,986,1,0.026757198,0.248610251,0.051894698,0.64502868,372909,0.489036199,0.510963801,0.783555774,0.66313592,292195,38.6
01091,Alabama,marengo county,39801,18187,468,24,32,26,57,5607,5224,10948,0.512148338,0.477164779,5488,5343,10890,0.503948577,0.490633609,-0.008199761,0.01346883,0,1,0,0,2530.140238,47,0,0.003021789,0.516248741,0.027991306,0.444255951,18863,0.468589302,0.531410698,0.774850236,0.745073892,14616,41.7
01093,Alabama,marion county,33264,20270,683,64,25,88,87,1432,11273,12912,0.110904585,0.873063817,1463,12205,13783,0.106145251,0.885511137,-0.004759333,0.01244732,1,0,0,0,1922.656984,62,0,0.003298664,0.038607829,0.026927867,0.917297789,29709,0.492308728,0.507691272,0.792318826,0.585538893,23539,44.3
01095,Alabama,marshall county,36044,92041,959,174,53,242,229,4913,29217,34965,0.140511941,0.835607036,5943,33191,39569,0.150193333,0.838813212,0.009681393,0.003206177,0,0,0,1,1465.528724,259,0,0.007057681,0.031806064,0.147477628,0.798241263,96774,0.493076653,0.506923347,0.748527497,0.546246445,72438,38.9
01097,Alabama,mobile county,38243,302318,6878,604,1040,963,849,68429,91087,163387,0.41881545,0.557492334,79474,101243,182655,0.435104432,0.554285401,0.016288981,-0.003206933,2,2,1,3,3184.127436,1603,1,0.020713439,0.362307301,0.030113018,0.565201713,413210,0.475240193,0.524759807,0.766844946,0.576438769,316868,38.1
01099,Alabama,monroe county,33456,12839,180,41,43,49,79,4310,5771,10185,0.42317133,0.566617575,4455,6147,10655,0.418113562,0.576912248,-0.005057769,0.010294673,0,0,0,0,2656.517454,84,0,0.0046303,0.409781508,0.016736603,0.541069792,20733,0.476004437,0.523995563,0.78908021,0.651283619,16360,44.1
01101,Alabama,montgomery county,43688,204048,4263,303,642,416,321,58669,33928,94572,0.620363321,0.358753119,64529,33311,98763,0.653372214,0.337282181,0.033008893,-0.021470939,0,2,0,1,2033.764493,3127,0,0.032779068,0.59321989,0.036841129,0.326991514,226486,0.46975972,0.53024028,0.766484463,0.568917845,173598,36.8
01103,Alabama,morgan county,39991,78645,600,232,110,338,214,11216,37392,49991,0.224360385,0.747974635,13234,39664,53603,0.246889167,0.739958584,0.022528782,-0.008016051,0,0,0,0,1500.60227,378,0,0.006843306,0.130891802,0.087450597,0.750566098,119679,0.492049566,0.507950434,0.771513799,0.580533715,92334,40.8
01105,Alabama,perry county,30535,11774,106,NA,24,13,36,3823,1403,5255,0.727497621,0.266983825,3860,1339,5223,0.739038867,0.256366073,0.011541245,-0.010617752,0,0,0,0,1863.885725,36,0,0.006275916,0.679479996,0.01613807,0.291493892,8923,0.465314356,0.534685644,0.790765438,0.740221088,7056,39.2
01107,Alabama,pickens county,32551,15562,328,34,17,40,68,3972,5454,9494,0.418369497,0.574468085,4022,5594,9656,0.416528583,0.579328915,-0.001840913,0.00486083,0,0,0.727348296,0,2282.893859,59,0,0.003211239,0.399648771,0.052383342,0.535975916,19930,0.502458605,0.497541395,0.806121425,0.601020789,16066,41.9
01109,Alabama,pike county,37359,25342,230,63,46,82,86,5039,7681,13025,0.386871401,0.589712092,5636,8042,13812,0.40805097,0.582247321,0.021179569,-0.007464771,0,0,0,0,1740.647521,127,0,0.018723199,0.378359606,0.024219363,0.558011717,33114,0.480733225,0.519266775,0.809899136,0.515008017,26819,31.4
01111,Alabama,randolph county,32411,14817,364,63,35,73,76,2290,7697,10130,0.226061204,0.75982231,2203,8559,10823,0.203548,0.790815855,-0.022513205,0.030993545,0,0.105389798,0,0,1503.615934,76,0,0.004577062,0.192324619,0.030014963,0.753938914,22722,0.48754511,0.51245489,0.788883021,0.603793584,17925,44
01113,Alabama,russell county,33104,37483,46,88,123,134,148,9577,9210,19136,0.500470318,0.481291806,11228,9864,21290,0.527383748,0.463316111,0.026913431,-0.017975695,0.97938469,0,0,0,1660.557977,194,0,0.008833526,0.454857577,0.058280568,0.458273667,57961,0.479063508,0.520936492,0.758682562,0.484149725,43974,37.2
01115,Alabama,st clair county,38569,50507,697,170,62,230,220,5550,31579,37937,0.146295174,0.832406358,7744,36166,44356,0.174587429,0.815357562,0.028292255,-0.017048796,1.034660023,0,0,0,1636.634176,201,0,0.008970864,0.096635088,0.024410135,0.853863169,89512,0.495486639,0.504513361,0.774600054,0.639725395,69336,40.4
01117,Alabama,shelby county,54369,127823,1269,289,110,409,259,22927,72846,99208,0.231100314,0.734275462,33268,79700,114430,0.290727956,0.696495674,0.059627641,-0.037779787,0.000241019,0.131452365,0.000128323,0,2034.10782,491,0,0.022618074,0.133195837,0.058038052,0.772115093,217702,0.483243149,0.516756851,0.768031529,0.684381766,167202,39.8
01119,Alabama,sumter county,31664,11168,481,10,29,12,43,4739,1581,6391,0.741511501,0.247379127,4648,1598,6283,0.739773993,0.2543371,-0.001737507,0.006957973,0,0,0,0,2340.898915,52,0,0.019151847,0.714009817,0.011990022,0.249295888,12427,0.457391164,0.542608836,0.810090931,0.624118407,10067,36
01121,Alabama,talladega county,34718,44498,603,145,135,194,226,12108,20596,33218,0.364501174,0.620025287,13138,22235,35620,0.368837732,0.624227962,0.004336558,0.004202674,0.054841755,2,0,0,1908.251622,242,0,0.006951912,0.330228313,0.023919078,0.622671235,79978,0.481119808,0.518880192,0.791130061,0.562957344,63273,41.4
01123,Alabama,tallapoosa county,40696,29029,2333,72,62,99,95,5271,12967,18504,0.284857328,0.700767402,5859,14963,20952,0.279639175,0.714156166,-0.005218153,0.013388765,0,0,0,0,1855.771079,136,0,0.00584636,0.270047316,0.025292937,0.687021577,40367,0.48460376,0.51539624,0.796046275,0.652019668,32134,45.6
01125,Alabama,tuscaloosa county,38822,172302,2500,286,265,364,344,31746,47701,81708,0.388529887,0.583798404,37765,51117,89809,0.420503513,0.569174582,0.031973626,-0.014623822,0,0,0,0,3421.041792,698,1,0.016192592,0.324162308,0.039683791,0.607986435,209355,0.481383296,0.518616704,0.789973968,0.5430299,165385,33.6
01127,Alabama,walker county,40197,52802,1728,136,82,245,233,4486,24208,29243,0.153404233,0.827822043,4834,26002,31113,0.155369138,0.835727831,0.001964905,0.007905788,0,0,0,0,2048.686077,200,0,0.005730388,0.061932274,0.026463689,0.888477826,63521,0.487744211,0.512255789,0.777506651,0.629970843,49388,42.2
01129,Alabama,washington county,36323,12734,315,31,27,41,65,2366,6031,8492,0.278615167,0.710197833,2258,6564,8867,0.254652081,0.740272922,-0.023963086,0.030075089,1,0,0,0,2797.72037,28,0,0.011454122,0.233002573,0.016170526,0.649638613,16326,0.490077178,0.509922822,0.779247826,0.696981607,12722,43
01131,Alabama,wilcox county,32215,12545,304,15,34,17,58,4329,1737,6095,0.710254307,0.284987695,4048,1833,5898,0.686334351,0.310783316,-0.023919956,0.025795622,0,0,0,0,2301.07511,42,0,0.002024487,0.710594813,0.014364215,0.268581895,10373,0.474501109,0.525498891,0.766798419,0.741513704,7954,40.7
01133,Alabama,winston county,35430,16669,278,44,26,64,89,871,9225,10255,0.084934178,0.89956119,974,10195,11271,0.086416467,0.904533759,0.001482289,0.00497257,0,0,0,0,1587.608917,51,0,0.003597275,0.009987727,0.033052605,0.933006052,23629,0.492064836,0.507935164,0.798341022,0.597487277,18864,45.6
02013,Alaska,aleutians east borough,56676,89,0,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,18091.32513,7,0,0.433623015,0.101887923,0.147737489,0.09050045,3337,0.675157327,0.324842673,0.924183398,#VALUE!,3084,44.4
02016,Alaska,aleutians west census area,54385,141,0,11,NA,15,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,11376.64326,34,0,0.40113596,0.070642528,0.139687611,0.236421725,5634,0.659566915,0.340433085,0.886226482,#VALUE!,4993,42
02020,Alaska,anchorage municipality,66510,117301,705,524,335,895,247,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,2,1,3,2,4419.53701,1283,0,0.099829861,0.059704861,0.093722222,0.571055556,288000,0.508569444,0.491430556,0.759729167,#VALUE!,218802,34.4
02050,Alaska,bethel census area,43500,5638,14,79,39,132,35,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,105228.8553,20,0,0.009953225,0.009518112,0.027357772,0.095888176,18386,0.515881649,0.484118351,0.64440335,#VALUE!,11848,27.6
02060,Alaska,bristol bay borough,143575,0,0,10,NA,10,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,1248.342013,9,0,0.017942584,0.008373206,0.074162679,0.395933014,836,0.523923445,0.476076555,0.821770335,#VALUE!,687,42.2
02068,Alaska,denali borough,82919,244,0,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,32729.61386,NA,0,0.053886505,0.020505484,0.038149738,0.79494516,2097,0.559370529,0.440629471,0.809728183,#VALUE!,1698,40
02070,Alaska,dillingham census area,59621,377,0,16,NA,23,10,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,47477.68501,NA,0,0.009153784,0.008136697,0.037021969,0.146663954,4916,0.507119609,0.492880391,0.685720098,#VALUE!,3371,30.1
02090,Alaska,fairbanks north star borough,56606,28427,229,202,92,286,126,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3,1,3,1,18982.3077,110,0,0.03389813,0.053154911,0.081962643,0.692459396,96849,0.537899204,0.462100796,0.762475606,#VALUE!,73845,31.9
02100,Alaska,haines borough,67059,125,0,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,6233.111973,NA,0,0.008695652,0.005928854,0.035968379,0.770750988,2530,0.498418972,0.501581028,0.819762846,#VALUE!,2074,48.9
02105,Alaska,hoonah-angoon census area,61752,418,0,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,16981.4349,NA,0,0.009776536,0.021880819,0.059590317,0.466480447,2148,0.532122905,0.467877095,0.8216946,#VALUE!,1765,50.3
02110,Alaska,juneau city and borough,68145,6797,38,57,12,89,15,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,1,0,6829.216436,80,0,0.069118659,0.01479327,0.06993182,0.640551698,31974,0.508632014,0.491367986,0.788922249,#VALUE!,25225,38.5
02122,Alaska,kenai peninsula borough,52015,15000,79,170,32,231,97,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,1,0,2,41499.90092,64,0,0.018583498,0.008073857,0.042685835,0.800231655,58708,0.521615453,0.478384547,0.775482047,#VALUE!,45527,41.1
02130,Alaska,ketchikan gateway borough,67602,1543,0,27,10,44,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,12579.50705,34,0,0.081504928,0.010790591,0.055751385,0.638587152,13901,0.51133012,0.48866988,0.782965254,#VALUE!,10884,39.7
02150,Alaska,kodiak island borough,63938,895,0,25,NA,34,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,17134.14268,37,0,0.219418372,0.013002,0.086397907,0.49107555,12998,0.53069703,0.46930297,0.750653947,#VALUE!,9757,34.5
02158,Alaska,kusilvak census area,30099,2045,0,68,26,126,24,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,1,0,0,44218.38495,NA,0,0.004330046,0.009381766,0.029949483,0.033798412,8314,0.526581669,0.473418331,0.586240077,#VALUE!,4874,23.6
